system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00035] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00039] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00318] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.00624] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.00626] Allegro version: 5.0.10
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.00679] Font arial.ttf loaded with pixel size 0 x 18.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.00680]     ascent=16.0, descent=-4.0, height=21.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.00681] added dtor for object 00D21F78, func 73F81B3B
dtor     D               dtor.c:184  _al_register_destructor          [   0.00682] added dtor for object 00D4A8D0, func 73F824D2
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.00755] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.00757] al_display=00D4A9A0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.00757] al_display->vt=00D0BB80
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.00978] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.00984] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00985] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00985] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00986] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00987] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00987] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00988] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00988] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00989] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00989] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00990] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00990] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00991] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00992] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00992] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00993] Score is : 897
